number	type	direction	stop|Chandler Fashion Center|0|1	stop|Rural Rd & Chandler Blvd|50|1	stop|Rural Rd & Ray Rd|100|1	stop|Rural Rd & Elliot Rd|150|1	stop|Rural Rd & Southern Ave|200|1	stop|Tempe Transportation Center|250|1	stop|Scottsdale Rd & Mcdowell Rd|300|1	stop|Scottsdale Rd & Camelback Rd|350|1	stop|Scottsdale Rd & Lincoln Dr|400|1	stop|Scottsdale Rd & Shea Blvd|450|1	stop|Scottsdale Park And Ride|500|1	stop|Scottsdale Rd & Frank Lloyd Wright Blvd|550|1	stop|Thompson Peak Pkwy & Scottsdale Healthcare Dr|600|1	stop|Camelback Rd & Scottsdale Rd|650|1
94	B	S	-	-	-	-	-	5:30AM	5:16AM	5:06AM	-	-	-	-	-	-
95	B	S	6:21AM	6:15AM	6:12AM	6:06AM	5:56AM	5:40AM	5:26AM	5:16AM	-	-	-	-	-	-
96	B	S	-	-	-	-	-	5:50AM	5:36AM	5:26AM	-	-	-	-	-	-
97	B	S	6:43AM	6:35AM	6:32AM	6:26AM	6:16AM	6:00AM	5:46AM	5:36AM	5:28AM	5:20AM	5:13AM	5:06AM	4:59AM	-
98	B	S	-	-	-	-	-	6:10AM	5:56AM	5:46AM	-	-	-	-	-	-
99	B	S	7:08AM	7:00AM	6:57AM	6:50AM	6:37AM	6:20AM	6:06AM	5:56AM	5:48AM	5:40AM	5:33AM	5:26AM	5:19AM	-
100	B	S	-	-	-	-	-	6:30AM	6:16AM	6:06AM	-	-	-	-	-	-
101	B	S	7:29AM	7:21AM	7:18AM	7:11AM	6:58AM	6:40AM	6:24AM	6:14AM	6:06AM	5:58AM	5:51AM	5:44AM	5:37AM	-
102	B	S	-	-	-	-	-	6:50AM	6:32AM	6:21AM	-	-	-	-	-	-
103	B	S	7:49AM	7:41AM	7:38AM	7:31AM	7:18AM	7:00AM	6:42AM	6:29AM	6:21AM	6:13AM	6:06AM	5:59AM	5:52AM	-
104	B	S	-	-	-	-	-	7:10AM	6:52AM	6:39AM	6:30AM	6:22AM	6:15AM	-	-	-
105	B	S	8:09AM	8:01AM	7:58AM	7:51AM	7:38AM	7:20AM	7:02AM	6:49AM	6:40AM	6:29AM	6:22AM	6:15AM	6:08AM	-
106	B	S	-	-	-	-	-	7:30AM	7:12AM	6:59AM	6:50AM	6:39AM	6:29AM	-	-	-
107	B	S	8:29AM	8:21AM	8:18AM	8:11AM	7:58AM	7:40AM	7:22AM	7:09AM	7:00AM	6:49AM	6:39AM	6:29AM	6:22AM	-
108	B	S	-	-	-	-	-	7:50AM	7:32AM	7:19AM	7:10AM	6:59AM	6:49AM	-	-	-
109	B	S	8:49AM	8:41AM	8:38AM	8:31AM	8:18AM	8:00AM	7:42AM	7:29AM	7:20AM	7:09AM	6:59AM	6:49AM	6:39AM	-
110	B	S	-	-	-	-	-	8:10AM	7:52AM	7:39AM	7:30AM	7:19AM	7:09AM	-	-	-
111	B	S	9:07AM	9:01AM	8:58AM	8:51AM	8:38AM	8:20AM	8:02AM	7:49AM	7:40AM	7:29AM	7:19AM	7:09AM	6:59AM	-
112	B	S	-	-	-	-	-	8:30AM	8:12AM	7:59AM	-	-	-	-	-	-
113	B	S	9:24AM	9:18AM	9:15AM	9:09AM	8:58AM	8:40AM	8:22AM	8:09AM	8:00AM	7:49AM	7:39AM	7:29AM	7:19AM	-
114	B	S	-	-	-	-	-	8:50AM	8:32AM	8:19AM	-	-	-	-	-	-
115	B	S	9:43AM	9:37AM	9:34AM	9:28AM	9:17AM	9:00AM	8:42AM	8:29AM	8:20AM	8:09AM	7:59AM	7:49AM	7:39AM	-
116	B	S	-	-	-	-	-	9:10AM	8:53AM	8:40AM	-	-	-	-	-	-
117	B	S	10:03AM	9:57AM	9:54AM	9:48AM	9:37AM	9:20AM	9:03AM	8:51AM	8:42AM	8:31AM	8:21AM	8:11AM	8:01AM	-
118	B	S	-	-	-	-	-	9:30AM	9:13AM	9:02AM	-	-	-	-	-	-
119	B	S	10:22AM	10:16AM	10:13AM	10:07AM	9:56AM	9:39AM	9:22AM	9:11AM	9:03AM	8:53AM	8:43AM	8:33AM	8:23AM	-
120	B	S	-	-	-	-	-	9:50AM	9:33AM	9:22AM	-	-	-	-	-	-
121	B	S	10:43AM	10:37AM	10:34AM	10:28AM	10:17AM	10:00AM	9:43AM	9:32AM	9:24AM	9:15AM	9:06AM	8:58AM	8:48AM	-
122	B	S	-	-	-	-	-	10:10AM	9:53AM	9:42AM	-	-	-	-	-	-
123	B	S	11:03AM	10:57AM	10:54AM	10:48AM	10:37AM	10:20AM	10:03AM	9:52AM	9:44AM	9:35AM	9:26AM	9:18AM	9:09AM	-
124	B	S	-	-	-	-	-	10:30AM	10:13AM	10:02AM	-	-	-	-	-	-
125	B	S	11:23AM	11:17AM	11:14AM	11:08AM	10:57AM	10:40AM	10:23AM	10:12AM	10:04AM	9:55AM	9:46AM	9:38AM	9:29AM	-
126	B	S	-	-	-	-	-	10:50AM	10:33AM	10:22AM	-	-	-	-	-	-
127	B	S	11:43AM	11:37AM	11:34AM	11:28AM	11:17AM	11:00AM	10:43AM	10:32AM	10:24AM	10:15AM	10:06AM	9:58AM	9:49AM	-
128	B	S	-	-	-	-	-	11:10AM	10:53AM	10:42AM	-	-	-	-	-	-
129	B	S	12:03PM	11:57AM	11:54AM	11:48AM	11:37AM	11:20AM	11:03AM	10:52AM	10:44AM	10:35AM	10:26AM	10:18AM	10:09AM	-
130	B	S	-	-	-	-	-	11:30AM	11:13AM	11:02AM	-	-	-	-	-	-
131	B	S	12:23PM	12:17PM	12:14PM	12:08PM	11:57AM	11:40AM	11:23AM	11:12AM	11:04AM	10:55AM	10:46AM	10:38AM	10:29AM	-
132	B	S	-	-	-	-	-	11:50AM	11:33AM	11:22AM	-	-	-	-	-	-
133	B	S	12:43PM	12:37PM	12:34PM	12:28PM	12:17PM	12:00PM	11:43AM	11:32AM	11:24AM	11:15AM	11:06AM	10:58AM	10:49AM	-
134	B	S	-	-	-	-	-	12:10PM	11:53AM	11:42AM	-	-	-	-	-	-
135	B	S	1:03PM	12:57PM	12:54PM	12:48PM	12:37PM	12:20PM	12:03PM	11:52AM	11:44AM	11:35AM	11:26AM	11:18AM	11:09AM	-
