number	type	direction	stop|Broadway Rd & 19th Ave|0|1	stop|Broadway Rd & Central Ave|50|1	stop|Broadway Rd & 24th St|100|1	stop|Broadway Rd & 32nd St|150|1	stop|Broadway Rd & 48th St|200|1	stop|Broadway Rd & Hardy Dr|250|1	stop|Broadway Rd & Rural Rd|300|1	stop|Broadway Rd & Price Rd|350|1	stop|Main St & Sycamore Dr|400|1	stop|Broadway Rd & Pomeroy|450|1	stop|Broadway Rd & Mesa Dr|500|1	stop|Broadway Rd & Gilbert Rd|550|1	stop|Broadway Rd & Greenfield Rd|600|1	stop|Power Rd & Baywood Ave|650|1	stop|Superstition Springs Transit Center|700|1	stop|Price Rd & Broadway Rd|750|1
71	B	W	8:44AM	8:51AM	9:03AM	9:08AM	9:16AM	9:22AM	9:29AM	9:36AM	9:45AM		10:01AM	10:09AM	10:18AM	10:29AM	10:40AM	-
72	B	W	9:13AM	9:20AM	9:32AM	9:37AM	9:45AM	9:51AM	9:58AM	10:05AM	10:14AM		10:30AM	10:38AM	10:47AM	10:58AM	11:09AM	-
73	B	W	9:43AM	9:50AM	10:02AM	10:07AM	10:15AM	10:21AM	10:28AM	10:35AM	10:44AM		11:00AM	11:08AM	11:17AM	11:28AM	11:39AM	-
74	B	W	10:13AM	10:20AM	10:32AM	10:37AM	10:45AM	10:51AM	10:58AM	11:05AM	11:14AM		11:30AM	11:38AM	11:47AM	11:58AM	12:09PM	-
75	B	W	10:43AM	10:50AM	11:02AM	11:07AM	11:15AM	11:21AM	11:28AM	11:35AM	11:44AM		12:00PM	12:08PM	12:17PM	12:28PM	12:39PM	-
76	B	W	11:13AM	11:20AM	11:32AM	11:37AM	11:45AM	11:51AM	11:58AM	12:05PM	12:14PM		12:30PM	12:38PM	12:47PM	12:58PM	1:09PM	-
77	B	W	11:41AM	11:48AM	12:00PM	12:05PM	12:13PM	12:19PM	12:26PM	12:33PM	12:42PM		12:58PM	1:06PM	1:15PM	1:26PM	1:37PM	-
78	B	W	12:11PM	12:18PM	12:30PM	12:35PM	12:43PM	12:49PM	12:56PM	1:03PM	1:12PM		1:28PM	1:36PM	1:45PM	1:56PM	2:07PM	-
79	B	W	12:43PM	12:50PM	1:02PM	1:07PM	1:15PM	1:21PM	1:28PM	1:35PM	1:44PM		2:00PM	2:10PM	2:20PM	2:31PM	2:42PM	-
80	B	W	1:09PM	1:16PM	1:28PM	1:33PM	1:41PM	1:47PM	1:54PM	2:01PM	2:10PM		2:26PM	2:36PM	2:46PM	2:57PM	3:08PM	-
81	B	W	1:37PM	1:44PM	1:56PM	2:01PM	2:09PM	2:16PM	2:23PM	2:31PM	2:40PM		2:56PM	3:06PM	3:16PM	3:27PM	3:38PM	-
82	B	W	2:07PM	2:14PM	2:26PM	2:31PM	2:39PM	2:46PM	2:53PM	3:01PM	3:10PM		3:26PM	3:36PM	3:46PM	3:57PM	4:08PM	-
83	B	W	-	-	-	-	2:57PM	3:04PM	3:11PM	-	-		-	-	-	-	-	3:20PM
84	B	W	2:37PM	2:44PM	2:56PM	3:01PM	3:09PM	3:16PM	3:23PM	3:31PM	3:40PM		3:56PM	4:06PM	4:16PM	4:27PM	4:38PM	-
85	B	W	2:51PM	2:58PM	3:10PM	3:15PM	3:23PM	3:30PM	3:37PM	-	-		-	-	-	-	-	3:46PM
86	B	W	3:07PM	3:14PM	3:26PM	3:31PM	3:39PM	3:46PM	3:53PM	4:01PM	4:10PM		4:26PM	4:36PM	4:46PM	4:57PM	5:08PM	-
87	B	W	3:21PM	3:28PM	3:40PM	3:45PM	3:53PM	4:00PM	4:07PM	-	-		-	-	-	-	-	4:16PM
88	B	W	3:37PM	3:44PM	3:56PM	4:01PM	4:09PM	4:16PM	4:23PM	4:31PM	4:40PM		4:56PM	5:06PM	5:16PM	5:27PM	5:38PM	-
89	B	W	3:55PM	4:02PM	4:14PM	4:19PM	4:27PM	4:34PM	4:41PM	-	-		-	-	-	-	-	4:50PM
90	B	W	4:11PM	4:18PM	4:30PM	4:35PM	4:43PM	4:50PM	4:57PM	5:05PM	5:14PM		5:30PM	5:40PM	5:50PM	6:01PM	6:12PM	-
91	B	W	4:25PM	4:32PM	4:44PM	4:49PM	4:57PM	5:04PM	5:11PM	-	-		-	-	-	-	-	5:20PM
92	B	W	4:41PM	4:48PM	5:00PM	5:05PM	5:13PM	5:20PM	5:27PM	5:35PM	5:44PM		6:00PM	6:10PM	6:20PM	6:31PM	6:41PM	-
93	B	W	4:55PM	5:02PM	5:14PM	5:19PM	5:27PM	5:34PM	5:41PM	-	-		-	-	-	-	-	5:50PM
94	B	W	5:11PM	5:18PM	5:30PM	5:35PM	5:43PM	5:50PM	5:57PM	6:05PM	6:14PM		6:30PM	6:38PM	6:47PM	6:57PM	7:07PM	-
95	B	W	5:25PM	5:32PM	5:44PM	5:49PM	5:57PM	6:04PM	6:11PM	-	-		-	-	-	-	-	6:20PM
96	B	W	5:45PM	5:52PM	6:04PM	6:09PM	6:17PM	6:24PM	6:31PM	6:38PM	6:46PM		7:00PM	7:08PM	7:17PM	7:27PM	7:37PM	-
97	B	W	6:03PM	6:10PM	6:22PM	6:27PM	6:34PM	-	-	-	-		-	-	-	-	-	-
