number	type	direction	stop|Ray Rd & 48th St|0|1	stop|Priest Dr & Ray Rd|50|1	stop|Priest Dr Dr & Elliot Rd|100|1	stop|Priest Dr & Baseline Rd|150|1	stop|Priest Dr & Southern Ave|200|1	stop|Priest Dr & University Dr|250|1	stop|Priest Dr & Washington St|300|1	stop|The Phoenix Zoo|350|1	stop|Desert Botanical Garden|400|1	stop|McDowell Rd & Scottsdale Rd|450|1
84	B	S	5:41PM	5:36PM	5:30PM	5:20PM	5:16PM	5:06PM	5PM	4:54PM	4:45PM	4:33PM
85	B	S	-	-	5:45PM	5:35PM	5:31PM	5:21PM	5:15PM	-	-	-
86	B	S	6:11PM	6:06PM	6PM	5:50PM	5:46PM	5:36PM	5:30PM	5:24PM	5:15PM	5:03PM
87	B	S	-	-	6:15PM	6:05PM	6:01PM	5:51PM	5:45PM	-	-	-
88	B	S	6:41PM	6:36PM	6:30PM	6:20PM	6:16PM	6:06PM	6PM	5:54PM	5:45PM	5:33PM
89	B	S	-	-	6:43PM	6:35PM	6:31PM	6:21PM	6:15PM	-	-	-
90	B	S	7:06PM	7:01PM	6:55PM	6:47PM	6:43PM	6:35PM	6:30PM	6:24PM	6:15PM	6:03PM
91	B	S	7:36PM	7:31PM	7:25PM	7:17PM	7:13PM	7:05PM	7PM	6:54PM	6:45PM	6:33PM
92	B	S	8:06PM	8:01PM	7:55PM	7:47PM	7:43PM	7:35PM	7:30PM	7:24PM	7:15PM	7:03PM
93	B	S	8:36PM	8:31PM	8:25PM	8:17PM	8:13PM	8:05PM	8PM	7:54PM	7:45PM	7:33PM
94	B	S	9:06PM	9:01PM	8:55PM	8:47PM	8:43PM	8:35PM	8:30PM	-	-	-
95	B	S	9:36PM	9:31PM	9:25PM	9:17PM	9:13PM	9:05PM	9PM	-	-	-
96	B	S	10:06PM	10:01PM	9:55PM	9:47PM	9:43PM	9:35PM	9:30PM	-	-	-
97	B	S	10:36PM	10:31PM	10:25PM	10:17PM	10:13PM	10:05PM	10PM	-	-	-
98	B	S	11:06PM	11:01PM	10:55PM	10:47PM	10:43PM	10:35PM	10:30PM	-	-	-
99	B	S	11:36PM	11:31PM	11:25PM	11:17PM	11:13PM	11:05PM	11PM	-	-	-
100	B	S	12:06AM	12:01AM	11:55PM	11:47PM	11:43PM	11:35PM	11:30PM	-	-	-
101	B	S	12:36AM	12:31AM	12:25AM	12:17AM	12:13AM	12:05AM	12AM	-	-	-
102	B	S	1:06AM	1:01AM	12:55AM	12:47AM	12:43AM	12:35AM	12:30AM	-	-	-
